"","sample","site","time","date","wellID","pH","notes","type","watertable","Ca","Mg","Na","K","T.hyphen.Al","Si","Mn.hyphen.MP","Mn","Fe.hyphen.MP","Fe","Zn.hyphen.MP","Rb.hyphen.MP","Sr.hyphen.MP","Ba.hyphen.MP","Pb.hyphen.MP","F","Cl","NO3","SO4","DOC","TDN","NH4","M.hyphen.Al","O.hyphen.Al","conductivity","PO4","Sr","Zn"
"646","W3-1672","H6p2","-99",2013-04-01,NA,4.97,NA,"S5",-99.9,0.33,0.13,0.69,0.35,0.17,3.24,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.04,0.79,0.13,2.12,1.94,0.1,0.003,0.11,0.05,NA,NA,NA,NA
"647","W3-1673","I6","4:30",2013-04-01,"I6",5.31,NA,"G4",80.3,1.11,0.22,0.82,0.16,0.31,3.04,NA,0.008,NA,0.098,NA,NA,NA,-100,NA,0.04,0.37,0.21,2.55,5.31,0.19,0.003,0.12,0.12,NA,NA,NA,NA
"648","W3-1675","I6P2","-99",2013-04-01,NA,5.31,NA,"S4",-99.9,0.55,0.13,0.54,0.15,0.43,3.14,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.02,0.24,0.1,1.26,5.09,0.17,0.003,0.16,0.14,NA,NA,NA,NA
"649","W3-1676","D1","-99",2013-04-01,"D1",4.94,NA,"G5",-99.9,0.5,0.19,0.8,0.08,0.37,2.85,NA,0.008,NA,0.079,NA,NA,NA,-100,NA,0.03,0.43,0.93,2.77,2.33,0.31,0.003,0.19,0.09,NA,NA,NA,NA
"650","W3-1677","D1P1","-99",2013-04-01,NA,4.86,NA,"S5",-99.9,0.35,0.13,0.7,0.14,0.39,2.49,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.05,0.6,0.58,2.13,3.6,0.25,0.003,0.23,0.12,NA,NA,NA,NA
"651","W3-1678","D1P2","-99",2013-04-01,NA,4.96,NA,"S5",-99.9,0.48,0.16,0.73,0.05,0.22,2.54,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.07,0.43,1.21,2.72,2.12,0.37,0.003,0.19,0.08,NA,NA,NA,NA
"652","W3-1679","D1P3","-99",2013-04-01,NA,4.98,NA,"S5",-99.9,0.49,0.17,0.76,0.05,0.24,2.61,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.06,0.43,1.19,2.75,1.95,0.37,0.003,0.18,0.07,NA,NA,NA,NA
"653","W3-1680","S02","-99",2013-04-01,NA,6.37,NA,"4",-99.9,1.69,0.56,1.32,0.27,0.03,4.21,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.04,0.47,0.27,3.33,2.59,0.14,0.003,0.03,0.05,NA,NA,NA,NA
"654","W3-1742","seep3","-99",2013-04-05,NA,5.83,NA,"4",-99.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0.02,0.45,4.26,3.44,2.91,1.1,NA,NA,NA,NA,NA,NA,NA
"655","W3-1787","seep3","-99",2013-04-08,NA,5.76,NA,"4",-99.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0.01,0.4,1.69,3.3,1.59,0.46,NA,NA,NA,NA,NA,NA,NA
"656","W3-1832","seep3","-99",2013-04-09,NA,5.66,NA,"4",-99.9,1.21,0.24,1.05,0.24,0.04,1.15,NA,0,NA,0.004,NA,0.001,0.0113,0.0089,NA,0.01,0.37,0.57,3,1.75,0.23,NA,NA,NA,NA,NA,NA,NA
"657","W3-1911","JD03P2","-99",2013-04-11,NA,NA,NA,"S3",-99.9,0.75,0.28,0.94,0.19,0.7,3.97,NA,0.008,NA,0.426,NA,NA,NA,-100,NA,0.05,0.4,0.16,2.66,1.55,0.09,0.009,0.04,0.05,NA,NA,NA,NA
"658","W3-1913","JD03P2","-99",2013-04-11,NA,NA,NA,"S3",-99.9,0.31,0.07,0.45,0.02,0.15,1.56,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.04,0.58,0.11,1.54,1.83,0.11,0.003,0.1,0.04,NA,NA,NA,NA
"659","W3-1914","A5","3:00",2013-04-11,"A5",NA,NA,"G2",15,0.34,0.18,0.65,0.06,1.14,2.5,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.08,0.56,2.23,2.32,6.25,0.64,0.003,0.71,0.23,NA,NA,NA,NA
"660","W3-1915","A5P1","-99",2013-04-11,NA,NA,NA,"S2",-99.9,0.3,0.17,0.66,0.04,1.14,2.47,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.05,0.53,2.52,2.55,5.71,0.7,0.003,0.74,0.22,NA,NA,NA,NA
"661","W3-1916","A5P2","-99",2013-04-11,NA,NA,NA,"S2",-99.9,0.33,0.18,0.64,0.04,0.99,2.45,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.06,0.53,2.53,2.55,5.86,0.68,0.003,0.74,0.23,NA,NA,NA,NA
"662","W3-1919","O1","3:50",2013-04-11,"O1",NA,NA,"G2",37,0.34,0.2,0.6,0.13,0.89,2.19,NA,0.126,NA,0.136,NA,NA,NA,-100,NA,0.06,0.44,1.8,2.38,9.04,0.62,0.003,0.58,0.28,NA,NA,NA,NA
"663","W3-1920","O1P1","-99",2013-04-11,NA,NA,NA,"S2",-99.9,0.29,0.18,0.58,0.05,0.68,2.18,NA,0.182,NA,0.284,NA,NA,NA,-100,NA,0.04,0.43,1.99,2.45,10.23,0.63,0.003,0.41,0.26,NA,NA,NA,NA
"664","W3-1921","O2","4:00",2013-04-11,"O2",NA,NA,"G1",9.6,0.6,0.38,0.46,0.12,0.8,1.58,NA,0.105,NA,0.258,NA,NA,NA,-100,NA,0.04,0.43,1.73,1.92,17.32,0.69,0.005,0.42,0.36,NA,NA,NA,NA
"665","W3-1922","O2P1","-99",2013-04-11,NA,NA,NA,"S1",-99.9,0.31,0.28,0.56,0.16,0.76,2.05,NA,0.057,NA,0.603,NA,NA,NA,-100,NA,0.05,0.42,2.46,2.13,16.07,0.82,0.003,0.41,0.3,NA,NA,NA,NA
"666","W3-1923","N1","3:40",2013-04-11,"N1",NA,NA,"G1",25.6,0.18,0.07,0.34,0.44,0.6,1.49,NA,0.09,NA,0.25,NA,NA,NA,-100,NA,0.02,0.31,0.52,1.31,15.01,0.46,0.003,0.3,0.27,NA,NA,NA,NA
"667","W3-1924","N2","3:30",2013-04-11,"N2",NA,NA,"G2",20.8,0.19,0.06,0.49,0.12,0.63,1.53,NA,0.106,NA,0.021,NA,NA,NA,-100,NA,0.02,0.5,1.6,1.94,2.88,0.48,0.003,0.37,0.09,NA,NA,NA,NA
"668","W3-1925","N3","4:40",2013-04-11,"N3",NA,NA,"G1",14.8,0.16,0.06,0.44,0.26,0.47,1.23,NA,0.102,NA,0.14,NA,NA,NA,-100,NA,0.02,0.41,0.86,1.93,9.26,0.42,0.003,0.23,0.21,NA,NA,NA,NA
"669","W3-1926","N3P1","-99",2013-04-11,NA,NA,NA,"S1",-99.9,0.04,0.04,0.49,0.07,0.49,1.28,NA,0.048,NA,0.153,NA,NA,NA,-100,NA,0.02,0.39,0.39,1.83,4.67,0.21,0.003,0.29,0.13,NA,NA,NA,NA
"670","W3-1927","N4","4:30",2013-04-11,"N4",NA,NA,"G2",14.7,0.17,0.06,0.45,0.19,0.6,1.44,NA,0.113,NA,0.074,NA,NA,NA,-100,NA,0.03,0.41,1.31,2.02,5.94,0.46,0.003,0.34,0.17,NA,NA,NA,NA
"671","W3-1928","N4P1","-99",2013-04-11,NA,NA,NA,"S2",-99.9,0.14,0.07,0.42,0.11,0.69,1.68,NA,0.111,NA,0.021,NA,NA,NA,-100,NA,0.04,0.44,2.95,1.8,1.73,0.74,0.003,0.51,0.05,NA,NA,NA,NA
"672","W3-1929","N4P2","-99",2013-04-11,NA,NA,NA,"S2",-99.9,0.18,0.07,0.63,0.18,0.8,1.79,NA,0.103,NA,0.021,NA,NA,NA,-100,NA,0.04,0.57,3.49,1.93,0.83,0.83,0.003,0.64,0.02,NA,NA,NA,NA
"673","W3-1930","N5","4:30",2013-04-11,"N5",NA,NA,"G2",76.5,0.14,0.05,0.48,0.1,0.63,1.51,NA,0.075,NA,0.021,NA,NA,NA,-100,NA,0.02,0.62,1.65,2.27,1.42,0.43,0.003,0.53,0.04,NA,NA,NA,NA
"674","W3-1931","K1d","-99",2013-04-11,"K1d",NA,NA,"G5",-99.9,1.4,0.36,1.17,0.2,0,3.83,NA,0.03,NA,0.021,NA,NA,NA,-100,NA,0.02,0.42,0.47,3.69,0.31,0.15,0.003,0.01,0,NA,NA,NA,NA
"675","W3-1932","K1s","4:40",2013-04-11,"K1s",NA,NA,"G5",19.1,0.64,0.2,0.95,0.09,0.1,2.7,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.02,0.41,0.96,2.94,0.73,0.26,0.003,0.03,0.02,NA,NA,NA,NA
"676","W3-1933","K8","4:30",2013-04-11,"K8",NA,NA,"G4",69.6,1.71,0.37,1.27,0.42,0.31,4.77,NA,0.008,NA,0.238,NA,NA,NA,-100,NA,0.03,0.35,1.32,3.55,0.36,0.33,0.003,0.02,0.03,NA,NA,NA,NA
"677","W3-1934","K8P1","-99",2013-04-11,NA,NA,NA,"S4",-99.9,0.65,0.09,0.48,0.05,0.95,2.78,NA,0.008,NA,0.057,NA,NA,NA,-100,NA,0.02,0.27,0.06,2.16,7.82,0.21,0.003,0.46,0.26,NA,NA,NA,NA
"678","W3-1935","K8P2","-99",2013-04-11,NA,NA,NA,"S4",-99.9,0.57,0.16,0.78,0.15,0.13,2.44,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.03,0.39,0.07,2.58,1.83,0.08,0.003,0.08,0.06,NA,NA,NA,NA
"679","W3-1936","K9","5:10",2013-04-11,"K9",NA,NA,"G3",61.5,0.55,0.12,0.59,0.15,0.3,1.83,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.05,0.43,1.69,2.38,0.75,0.43,0.003,0.17,0.03,NA,NA,NA,NA
"680","W3-1937","K10","5:20",2013-04-11,"K10",NA,NA,"G5",60.3,0.94,0.19,0.73,0.1,0.03,2.04,NA,0.018,NA,0.021,NA,NA,NA,-100,NA,0.04,0.46,2.29,2.16,0.42,0.53,0.003,0.05,0.01,NA,NA,NA,NA
"681","W3-1938","K10P1","-99",2013-04-11,NA,NA,NA,"S5",-99.9,0.51,0.09,0.5,0.13,0.23,1.49,NA,0.029,NA,0.021,NA,NA,NA,-100,NA,0.05,0.47,2.56,1.91,0.59,0.59,0.003,0.27,0.01,NA,NA,NA,NA
"682","W3-1939","K9P2","-99",2013-04-11,NA,NA,NA,"S3",-99.9,0.16,0.04,0.43,0.07,0.6,3.5,NA,0.008,NA,0.021,NA,NA,NA,-100,NA,0.04,0.45,2.11,1.53,1.57,0.52,0.003,0.42,0.05,NA,NA,NA,NA
"683","W3-1942","H6P1","-99",2013-04-11,NA,NA,NA,"S5",-99.9,0.32,0.12,0.5,0.71,0.18,1.86,NA,0.008,NA,0.067,NA,NA,NA,-100,NA,0.03,0.33,0.62,1.96,5.1,0.29,0.003,0.11,0.12,NA,NA,NA,NA
"684","W3-1951","JD21","6:00",2013-04-11,"JD21",NA,NA,"G5",41.5,0.87,0.35,1.04,0.29,0.83,4.26,NA,0.008,NA,0.472,NA,NA,NA,-100,NA,0.04,0.4,0.19,3.38,0.68,0.08,0.01,0.04,0.02,NA,NA,NA,NA
"685","W3-1952","seep3","-99",2013-04-11,NA,5.89,NA,"4",-99.9,1.07,0.23,1.04,0.3,0.04,2.9,0,NA,0.007,NA,NA,0.0011,0.0115,0.0054,NA,0.01,0.38,0.17,2.91,1.54,0.12,NA,NA,NA,NA,NA,NA,NA
"686","W3-2014","seep3","-99",2013-04-19,NA,5.97,NA,"4",-99.9,1.39,0.25,1.05,0.28,0.05,1.97,0.001,NA,0.012,NA,NA,0.0011,0.0139,0.0098,NA,0.03,0.4,1.41,3.08,1.85,0.39,NA,NA,NA,NA,NA,NA,NA
"687","W3-2065","seep3","-99",2013-04-30,NA,5.78,NA,"4",-99.9,1.2,0.21,1.15,0.29,0.05,2.66,0,NA,0.007,NA,NA,0.0011,0.0117,0.0084,NA,0.03,0.45,1.19,3.11,1.8,0.39,NA,NA,NA,NA,NA,NA,NA
"688","W3-2197","seep2","-99",2013-06-14,NA,5.54,NA,"4",-99.9,1.38,0.3,1.27,0.07,0.1,3.11,0,NA,0.008,NA,NA,3e-04,0.0116,0.0099,NA,0.02,0.43,0.61,3.01,2.27,0.31,NA,NA,NA,NA,NA,NA,NA
"689","W3-2090","N4P2","-99",2013-06-25,NA,4.93,NA,"S2",-99.9,0.14,0.06,0.49,0.02,0.44,1.31,0.088,NA,0.002,NA,NA,1e-04,0.0011,0.012,NA,0.01,0.34,0.26,2.27,1.11,0.12,NA,NA,NA,NA,NA,NA,NA
"690","W3-2091","K8P1","-99",2013-06-25,NA,5.08,NA,"S4",-99.9,0.71,0.09,0.56,0.01,1.22,2.27,0.002,NA,0.081,NA,NA,1e-04,0.0088,0.0062,NA,0.02,0.28,0.01,0.6,10.68,0.28,NA,NA,NA,NA,NA,NA,NA
"691","W3-2092","N4P1","-99",2013-06-25,NA,4.81,NA,"S2",-99.9,0.13,0.05,0.38,0.05,0.4,0.91,0.068,NA,0.011,NA,NA,3e-04,0.001,0.0089,NA,0.01,0.35,0.37,2.2,2.24,0.19,NA,NA,NA,NA,NA,NA,NA
"692","W3-2093","K9P2","-99",2013-06-25,NA,4.91,NA,"S3",-99.9,0.11,0.03,0.56,0.02,0.35,3.57,0.007,NA,0.003,NA,NA,1e-04,0.0012,0.0041,NA,0.02,0.29,0.03,1.9,2.25,0.11,NA,NA,NA,NA,NA,NA,NA
"693","W3-2095","H5P2","-99",2013-06-25,NA,4.96,NA,"S4",-99.9,0.25,0.05,0.54,0.01,0.21,1.94,0.007,NA,0.006,NA,NA,1e-04,0.0024,0.01,NA,0.04,0.55,0,2.1,1.18,0.06,NA,NA,NA,NA,NA,NA,NA
"694","W3-2103","seep3","-99",2013-06-25,NA,5.8,NA,"4",-99.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0.03,0.37,0.32,3.17,1.38,0.16,NA,NA,NA,NA,NA,NA,NA
"695","W3-2098","H6P2","-99",2013-06-27,NA,4.93,NA,"S5",-99.9,0.2,0.06,0.42,0.16,0.16,1.07,0.005,NA,0.016,NA,NA,0.0012,0.0013,0.002,NA,0.03,0.16,0,1.53,2.95,0.12,NA,NA,NA,NA,NA,NA,NA
"696","W3-2104","seep3","-99",2013-06-27,NA,5.77,NA,"4",-99.9,1.56,0.31,1.43,0.31,0.11,4.11,0.033,NA,0.089,NA,NA,0.0011,0.0157,0.0045,NA,0.04,0.34,0.61,3.21,1.31,0.2,NA,NA,NA,NA,NA,NA,NA
"697","W3-2105","H6P1","-99",2013-06-27,NA,4.48,NA,"S5",-99.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0.04,0.13,0.02,0.58,28.08,0.65,NA,NA,NA,NA,NA,NA,NA
"698","W3-2106","K10P3","-99",2013-06-27,NA,4.99,NA,"S5",-99.9,0.36,0.08,0.55,0.06,0.15,1.46,0.022,NA,0.004,NA,NA,3e-04,0.0031,0.0044,NA,0.03,0.46,0.02,2.58,0.87,0.06,NA,NA,NA,NA,NA,NA,NA
"699","W3-2107","K10P2","-99",2013-06-27,NA,4.94,NA,"S5",-99.9,0.37,0.08,0.57,0.05,0.19,1.43,0.025,NA,0.009,NA,NA,3e-04,0.0033,0.0053,NA,0.03,0.44,0.06,2.51,0.88,0.07,NA,NA,NA,NA,NA,NA,NA
"700","W3-2108","N3P1","-99",2013-06-27,NA,4.7,NA,"S1",-99.9,0.05,0.04,0.56,0.05,0.4,0.73,0.038,NA,0.156,NA,NA,1e-04,5e-04,0.0076,NA,0.03,0.52,0,1.32,5.94,0.18,NA,NA,NA,NA,NA,NA,NA
"701","W3-2109","N3","-99",2013-06-27,"N3",4.19,NA,"G1",-99.9,0.31,0.11,0.59,0.34,0.78,2.62,0.169,NA,0.266,NA,NA,0.0019,0.0017,0.0101,NA,0.03,0.36,1.62,1.62,19.98,0.93,NA,NA,NA,NA,NA,NA,NA
"702","W3-2110","K1s","-99",2013-06-27,"K1s",5.76,NA,"G5",-99.9,0.72,0.19,1.15,0.04,0.08,2.45,0.01,NA,0.006,NA,NA,2e-04,0.0055,0.004,NA,0.01,0.4,0.05,2.87,0.98,0.07,NA,NA,NA,NA,NA,NA,NA
"703","W3-2111","K1d","-99",2013-06-27,"K1d",5.6,NA,"G5",-99.9,1.32,0.35,1.45,0.24,0.02,3.89,0.026,NA,0.003,NA,NA,4e-04,0.0087,0.0024,NA,0.08,0.41,0.19,3.26,0.47,0.07,NA,NA,NA,NA,NA,NA,NA
"704","W3-2118","K10P1","-99",2013-06-27,NA,4.98,NA,"S5",-99.9,0.77,0.15,1.05,0.13,0.49,2.79,0.053,NA,0.023,NA,NA,8e-04,0.0067,0.0054,NA,0.01,0.48,0.14,2.25,0.87,0.09,NA,NA,NA,NA,NA,NA,NA
"705","W3-2119","K10","-99",2013-06-27,"K10",5.42,NA,"G5",-99.9,1.36,0.38,1.66,0.17,0.05,4.43,0.011,NA,0.001,NA,NA,5e-04,0.0098,0.003,NA,0.01,0.35,0.57,3.35,0.51,0.18,NA,NA,NA,NA,NA,NA,NA
"706","W3-2120","K8P2","-99",2013-06-27,NA,5.37,NA,"S4",-99.9,0.53,0.13,0.69,0.11,0.16,1.58,0.002,NA,0.008,NA,NA,6e-04,0.0057,0.0059,NA,0.03,0.41,0,1.72,2.32,0.08,NA,NA,NA,NA,NA,NA,NA
"707","W3-2121","K8","-99",2013-06-28,"K8",5.83,NA,"G4",-99.9,1.64,0.31,1.34,0.5,0.04,4.06,0.001,NA,0.046,NA,NA,0.0011,0.015,0.0015,NA,0.03,0.38,1,3.41,0.49,0.29,NA,NA,NA,NA,NA,NA,NA
"708","W3-2122","K8P1","-99",2013-06-28,NA,5.03,NA,"S4",-99.9,0.55,0.07,0.44,0.02,0.95,1.76,0.001,NA,0.062,NA,NA,1e-04,0.0069,0.0054,NA,0.01,0.25,0,0.51,11.06,0.32,NA,NA,NA,NA,NA,NA,NA
"709","W3-2123","K8P2","-99",2013-06-28,NA,5.4,NA,"S4",-99.9,0.55,0.13,0.7,0.11,0.15,1.67,0.002,NA,0.007,NA,NA,6e-04,0.0057,0.0059,NA,0.02,0.39,0,1.62,2.55,0.07,NA,NA,NA,NA,NA,NA,NA
"710","W3-2125","JD21","-99",2013-06-28,"JD21",5.27,NA,"G5",89.5,0.81,0.24,1.22,0.05,0.09,2.71,0.004,NA,0.026,NA,NA,3e-04,0.0068,0.0056,NA,0.1,0.43,0,3.01,1,0.06,NA,NA,NA,NA,NA,NA,NA
"711","W3-2126","K9P2","-99",2013-06-28,NA,4.94,NA,"S3",-99.9,0.11,0.03,0.57,0.01,0.36,3.89,0.007,NA,0.001,NA,NA,1e-04,0.0012,0.0041,NA,0.04,0.24,0.02,1.77,2.32,0.11,NA,NA,NA,NA,NA,NA,NA
"712","W3-2127","H6P2","-99",2013-06-28,NA,5.01,NA,"S5",-99.9,0.25,0.05,0.51,0.02,0.21,1.87,0.006,NA,0.013,NA,NA,2e-04,0.0028,0.0172,NA,0.04,0.48,0,2.03,1.46,0.14,NA,NA,NA,NA,NA,NA,NA
"713","W3-2129","N4","-99",2013-06-28,"N4",4.3,NA,"G2",-99.9,0.19,0.07,0.39,0.11,0.68,1.19,0.114,NA,0.13,NA,NA,7e-04,0.0011,0.008,NA,0.02,0.25,0.54,1.33,12.12,0.45,NA,NA,NA,NA,NA,NA,NA
"714","W3-2130","K10P3","-99",2013-06-28,NA,4.96,NA,"S5",-99.9,0.37,0.08,0.58,0.06,0.17,1.54,0.023,NA,0.002,NA,NA,4e-04,0.0033,0.0046,NA,0.01,0.42,0.02,2.62,0.84,0.05,NA,NA,NA,NA,NA,NA,NA
"715","W3-2131","K10P2","-99",2013-06-28,NA,4.93,NA,"S5",-99.9,0.36,0.08,0.56,0.07,0.2,1.37,0.025,NA,0.004,NA,NA,3e-04,0.0032,0.005,NA,0.03,0.46,0.07,2.51,0.76,0.07,NA,NA,NA,NA,NA,NA,NA
"716","W3-2134","H6P2","-99",2013-06-28,NA,4.98,NA,"S5",-99.9,0.22,0.07,0.48,0.17,0.21,1.72,0.005,NA,0.019,NA,NA,0.0012,0.0015,0.0021,NA,0.02,0.14,0,1.36,3.19,0.12,NA,NA,NA,NA,NA,NA,NA
"717","W3-2137","N4P1","-99",2013-06-28,NA,4.73,NA,"S2",-99.9,0.14,0.06,0.4,0.07,0.42,1.14,0.071,NA,0.01,NA,NA,3e-04,0.001,0.0089,NA,0.01,0.27,0.95,1.93,2.35,0.33,NA,NA,NA,NA,NA,NA,NA
"718","W3-2138","N3","-99",2013-06-28,"N3",4.2,NA,"G1",-99.9,0.15,0.06,0.39,0.12,0.58,1.04,0.101,NA,0.198,NA,NA,8e-04,9e-04,0.0074,NA,0,0.33,0,1.19,16.76,0.48,NA,NA,NA,NA,NA,NA,NA
"719","W3-2139","N3P1","-99",2013-06-28,NA,4.67,NA,"S1",-99.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0,0.08,0.02,0.18,6.61,0.2,NA,NA,NA,NA,NA,NA,NA
"720","W3-2140","K10P1","-99",2013-06-28,NA,4.95,NA,"S5",-99.9,0.38,0.08,0.54,0.07,0.24,1.54,0.027,NA,0,NA,NA,4e-04,0.0033,0.0045,NA,0.09,0.5,0.11,2.35,0.97,0.08,NA,NA,NA,NA,NA,NA,NA
"721","W3-2141","K10","4:30",2013-06-28,"K10",5.32,NA,"G5",99.1,0.96,0.27,1.18,0.12,0.05,3.13,0.01,NA,0.001,NA,NA,3e-04,0.007,0.0027,NA,0.04,0.37,0.38,3.49,0.55,0.14,NA,NA,NA,NA,NA,NA,NA
"722","W3-2142","N4P2","-99",2013-06-28,NA,4.95,NA,"S2",-99.9,0.13,0.05,0.45,0.01,0.39,1.19,0.079,NA,0.002,NA,NA,1e-04,0.001,0.0107,NA,0.05,0.32,0.44,2.12,1.23,0.18,NA,NA,NA,NA,NA,NA,NA
"723","W3-2143","N1","-99",2013-06-28,"N1",4.19,NA,"G1",-99.9,0.26,0.12,0.41,0.25,1.08,2.17,0.104,NA,0.548,NA,NA,0.0017,0.0022,0.0159,NA,0.03,0.12,0,0.5,31.18,0.71,NA,NA,NA,NA,NA,NA,NA
"724","W3-2144","seep3","-99",2013-06-28,NA,5.74,NA,"4",-99.9,1.69,0.35,1.61,0.36,0.05,4.55,0.001,NA,0.024,NA,NA,0.001,0.0138,0.0024,NA,0.02,0.33,0.51,3.29,1.83,0.2,NA,NA,NA,NA,NA,NA,NA
"725","W3-2146","K1s","4:50",2013-06-28,"K1s",5.07,NA,"G5",34.3,0.64,0.17,1.01,0.03,0.07,2.21,0.009,NA,0.009,NA,NA,1e-04,0.005,0.0031,NA,0.01,0.41,0.05,2.72,0.83,0.06,NA,NA,NA,NA,NA,NA,NA
"726","W3-2147","K1d","4:50",2013-06-28,"K1d",5.59,NA,"G5",120.6,1.4,0.34,1.5,0.29,0.02,3.83,0.021,NA,0.009,NA,NA,6e-04,0.0093,0.004,NA,0.03,0.45,0.19,3.21,0.6,0.16,NA,NA,NA,NA,NA,NA,NA
"727","W3-2149","N5","-99",2013-06-28,"N5",4.82,NA,"G2",-99.9,0.17,0.05,0.58,0.13,0.54,1.25,0.074,NA,0.003,NA,NA,5e-04,0.0011,0.0058,NA,0,0.43,0.48,1.99,1.8,0.28,NA,NA,NA,NA,NA,NA,NA
"728","W3-2150","N2","-99",2013-06-28,"N2",4.71,NA,"G2",99.2,0.16,0.06,0.37,0.1,0.57,1,0.075,NA,0.072,NA,NA,7e-04,0.0011,0.0076,NA,0,0.29,0.28,1.71,4.62,0.23,NA,NA,NA,NA,NA,NA,NA
"729","W3-2156","seep3","-99",2013-06-29,NA,5.88,NA,"4",-99.9,1.78,0.37,1.3,0.29,0.05,3.11,0,NA,0.015,NA,NA,0.0012,0.0162,0.014,NA,0.01,0.4,0.09,3.01,2.78,0.22,NA,NA,NA,NA,NA,NA,NA
"730","W3-2238","seep2","-99",2013-06-29,NA,6.06,NA,"4",-99.9,3.5,0.8,1.85,0.42,0.04,3.95,0,NA,0.011,NA,NA,0.0015,0.0254,0.0091,NA,0.03,0.46,1.98,3.38,3.21,0.57,NA,NA,NA,NA,NA,NA,NA
"731","W3-2240","seep1","-99",2013-06-29,NA,6.12,NA,"4",-99.9,2.1,0.45,1.48,0.58,0.06,4.34,0.004,NA,0.018,NA,NA,0.003,0.0183,0.0091,NA,0.02,0.31,0.79,3.07,4.85,0.42,NA,NA,NA,NA,NA,NA,NA
"732","W3-2333","seep2","-99",2013-07-02,NA,6.03,NA,"4",-99.9,2.4,0.54,1.56,0.37,0.04,3.09,0.003,NA,0.011,NA,NA,0.0014,0.0195,0.0073,NA,0.11,0.5,0.7,2.85,3.03,0.31,NA,NA,NA,NA,NA,NA,NA
"733","W3-2180","seep1","-99",2013-07-03,NA,5.43,NA,"4",-99.9,1.13,0.29,1.43,0.15,0.02,3.4,0.001,NA,0.017,NA,NA,8e-04,0.0107,0.0066,NA,0.03,0.67,0.39,3.2,2.64,0.21,NA,NA,NA,NA,NA,NA,NA
"734","W3-2302","seep3","-99",2013-07-03,NA,5.84,NA,"4",-99.9,1.83,0.35,1.56,0.37,0.04,4.38,0.003,NA,0.021,NA,NA,0.0012,0.0179,0.004,NA,0.03,0.34,0.86,3.18,1.34,0.28,NA,NA,NA,NA,NA,NA,NA
"735","W3-2367","seep3","-99",2013-07-06,NA,5.99,NA,"4",-99.9,1.93,0.35,1.65,0.39,0.02,4.48,0,NA,0.007,NA,NA,0.0013,0.0172,0.0063,NA,0.03,0.34,1.06,3.32,1.16,0.34,NA,NA,NA,NA,NA,NA,NA
"736","W3-2385","seep1","-99",2013-07-18,NA,5.56,NA,"4",-99.9,4.59,0.99,2.67,1.14,0.18,5.93,0.102,NA,0.339,NA,NA,0.0039,0.0429,0.0306,NA,0.02,2.83,0.18,2.14,9.39,0.77,NA,NA,NA,NA,NA,NA,NA
"737","W3-2386","seep2","-99",2013-07-18,NA,6.1,NA,"4",-99.9,3.26,0.77,2.07,0.83,0.04,4.73,0,NA,0.013,NA,NA,0.003,0.0247,0.0118,NA,0.03,0.76,0.02,1.9,4.71,0.3,NA,NA,NA,NA,NA,NA,NA
"738","W3-2387","D1","12:50",2013-08-20,"D1",5.69,NA,"G5",-99.9,0.69,0.52,1.59,0.56,0.21,2.97,NA,0.035,NA,0.021,NA,NA,NA,-100,NA,0.18,1.5,0.2,4.68,3.71,0.42,0.023,0.1,0.05,NA,NA,NA,NA
"739","W3-2388","K1d","11:50",2013-08-20,"K1d",6.12,NA,"G5",147.4,1.5,0.35,1.9,0.49,0,4.47,NA,0.064,NA,0.021,NA,NA,NA,-100,NA,0.06,0.5,0.25,2.88,0.76,0.21,0.03,0.01,0,NA,NA,NA,NA
"740","W3-2389","I9","12:30",2013-08-20,"I9",6.6,NA,"G6",53.3,1.84,0.48,1.75,1.06,0.32,4.68,NA,0.253,NA,0.288,NA,NA,NA,-100,NA,0.07,0.53,0.04,2.48,4.22,0.24,NA,0.03,0.02,NA,NA,NA,NA
"741","W3-2390","K6s","11:20",2013-08-20,"K6s",6.87,NA,"G8",-20.3,2.46,0.44,2.78,0.98,0.14,6.13,NA,1.186,NA,0.46,NA,NA,NA,-100,NA,0.07,0.57,0.25,1.88,2.53,0.42,0.112,0.02,0.01,NA,NA,NA,NA
